name,habitatImageUrl,info,moreInfoUrl
hammer_shark,https://3w9yz8ifp462cet4q2j4fjen-wpengine.netdna-ssl.com/images/hammerhead-shark-habitat-map-1.jpg,"Scalloped hammerhead sharks (Sphyrna lewini) have the typical wide head of a hammerhead, but with ridges along the top. They eat fish, squid, crustaceans and especially stingrays, sometimes accumulating the stinging barbs in their mouth.",https://www.pdza.org/animals/pacific-seas-aquarium/baja-bay/
sea_turtle,http://www.californiaherps.com/turtles/maps/cmydasworldrangemap.jpg,"Bruno is our Atlantic green sea turtle who arrived in 2020. Hatched in 1997, he’s around 156 pounds – bigger than Sunny and Azul. But he really likes rubbing shells with them! Read the story for more.",https://www.pdza.org/atlantic-green-sea-turtle-joins-pacific-seas-aquarium/
penguin,https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/43378238_2717154294977451_5769571568925540352_o.jpg?_nc_cat=106&ccb=2&_nc_sid=9267fe&_nc_ohc=JKWkfDMUBtYAX-QJp4W&_nc_ht=scontent-sjc3-1.xx&oh=0e2844ee704e3ed580c5726c1146b063&oe=5FF90A82,"Our Magellanic penguins are cared for by Rocky Shores keepers – but there’s a big difference between them and the other inhabitants. They don’t live in the same place! In the wild, penguins live in the Southern Hemisphere, close to Antarctica, while Pacific walrus, sea otters, California sea lions and harbor seals live in the Northern Hemisphere.",https://www.pdza.org/animals/rocky-shores/penguin-point/
lemur,https://www2.palomar.edu/anthro/primate/images/map_of_lemurs.gif,,https://www.pdza.org/beyond-madagascar/
seal,https://www.theanimalfiles.com/images/common_seal_range.jpg,"It’s hard to resist those beautiful big eyes. But harbor seals have special eyes for a reason – their flattened corneas help them take in more light, making it easier to see underwater.",https://www.pdza.org/animals/rocky-shores/harbor-seal/
muskoxen,https://www.kidzone.ws/animal-facts/muskox/images/map.gif,"We have not one but three muskox! These shaggy bovines have roamed the frozen Arctic for thousands of years, munching on moss and gathering in herds for protection.",https://www.pdza.org/animals/arctic-tundra/muskox/
fox,https://www.canids.org/app/images/canids/red-fox/Red_fox_rangemap.png,"What color are Arctic foxes? Well, it depends on what time of the year you are visiting the Zoo! To camouflage in the treeless tundra Arctic foxes are brown in summer and turn white in winter to blend in with the snow.",https://www.pdza.org/animals/arctic-tundra/arctic-fox/
polar_bear,"https://cdn.shortpixel.ai/client/to_avif,q_lossy,ret_img,w_731/https://www.geographyrealm.com/wp-content/uploads/2017/02/polar-bear-map.png","
Blizzard might not be young – but that doesn’t stop him being one of the most powerful, awe-inspiring animals in our Zoo. Ten feet high when he stand up. The ability to run at 25 mph. Massive jaws.",https://www.pdza.org/animals/arctic-tundra/polar-bear/
sea_lion,https://cdn2.webdamdb.com/1280_0yf64ZjnRphH.png?1507828178,"How can you tell the difference between a seal and a sea lion? Seals have ear holes, while sea lions have ear flaps. They also “walk” on land using their fore-flippers, while seals scoot on their bellies.",https://www.pdza.org/animals/rocky-shores/sea-lion/
otter,http://mtnhp.org/thumbnail/defaultNoCap.aspx?img=http://FieldGuide.mt.gov/RangeMaps/NSRangeMap_AMAJF10010.jpg&maxWidth=600,"Sea otters are very social – and ours are no exception! Sekiu, Moea and Libby love to play together or just snuggle – but they’re also extremely curious and will explore objects like cups or balls.",https://www.pdza.org/animals/rocky-shores/sea-otter/
walrus,http://www.adfg.alaska.gov/static/species/speciesinfo/walrus/images/walrus_largemap.jpg,"Come meet our two new young male walruses, Mitik and Pakak! Rescued together as orphaned calves in Alaska, they are now reunited after seven years of living in other zoos.",https://www.pdza.org/animals/rocky-shores/walrus/
puffins,https://animalfactguide.com/wp-content/uploads/2013/01/worldmap_puffin.png,"Plenty of sea birds live along the shores of Alaska and British Columbia, and in the Rocky Shores habitat we have three kinds: tufted puffins, with their classic tuft of feathers on the back of their heads; horned puffins, who sport a curvy black “horn” of feathers over their eyes in summer; and murres, with their white chests and smooth black backs.",https://www.pdza.org/animals/rocky-shores/puffins/
red_wolf,http://thetruthaboutredwolves.com/images/Red-Wolf-Historical-Range-Map.jpg,"By the 1970s, very few red wolves existed on the planet, due to ceaseless hunting. By the 1980s, PDZA, in cooperation with USFWS, established a zoo-based breeding program using 14 wolves from the wild to restore the population.",https://www.pdza.org/animals/red-wolf-woods/
budgerigar,https://www.zoonewengland.org/media/72188/budgerigar.jpg,"Highly social birds, budgies can form flocks of up to 25,000 birds. They forage in the morning and can be very noisy!",https://www.pdza.org/animals/budgie-buddies/
